season,game_type,team_id,team_abbrev,max_skate_speed_mph,bursts_over22,bursts_20_22,bursts_18_20
2023,2,21,COL,NA,NA,NA,NA
2023,2,12,CAR,NA,NA,NA,NA
2023,2,25,DAL,NA,NA,NA,NA
2023,2,7,BUF,NA,NA,NA,NA
2023,2,14,TBL,NA,NA,NA,NA
2023,2,8,MTL,NA,NA,NA,NA
2023,2,30,MIN,NA,NA,NA,NA
2023,2,6,BOS,NA,NA,NA,NA
2023,2,9,OTT,NA,NA,NA,NA
2023,2,5,PIT,NA,NA,NA,NA
2023,2,4,PHI,NA,NA,NA,NA
2023,2,15,WSH,NA,NA,NA,NA
2023,2,54,VGK,NA,NA,NA,NA
2023,2,22,EDM,NA,NA,NA,NA
2023,2,17,DET,NA,NA,NA,NA
2023,2,29,CBJ,NA,NA,NA,NA
2023,2,24,ANA,NA,NA,NA,NA
2023,2,2,NYI,NA,NA,NA,NA
2023,2,26,LAK,NA,NA,NA,NA
2023,2,1,NJD,NA,NA,NA,NA
2023,2,19,STL,NA,NA,NA,NA
2023,2,18,NSH,NA,NA,NA,NA
2023,2,28,SJS,NA,NA,NA,NA
2023,2,13,FLA,NA,NA,NA,NA
2023,2,52,WPG,NA,NA,NA,NA
2023,2,55,SEA,NA,NA,NA,NA
2023,2,10,TOR,NA,NA,NA,NA
2023,2,20,CGY,NA,NA,NA,NA
2023,2,3,NYR,NA,NA,NA,NA
2023,2,16,CHI,NA,NA,NA,NA
2023,2,23,VAN,NA,NA,NA,NA
2023,2,53,PHX,NA,NA,NA,NA
